端,模块,页面ID,页面名称,优先级,核心动作
小程序,认证,MP-AUTH-01,登录/授权,P0,登录与隐私授权
小程序,日历,MP-CAL-01,我的班表月历,P0,查看日期与班次
小程序,日历,MP-CAL-02,周视图,P0,查看未来七天与天气
小程序,排班,MP-SCH-01,排班详情,P0,查看时间地点天气
小程序,排班,MP-SCH-02,临时改班,P0,仅修改指定日期
小程序,分享,MP-SHR-01,分享班表,P0,生成海报与保存
小程序,提醒,MP-NOT-01,提醒设置,P0,设置提前时间
小程序,我的,MP-ME-01,设置与班次管理,P0,维护偏好
APP,首页,APP-HOME-01,首页仪表盘,P0,查看今日和下一班
APP,班表,APP-CAL-01,月历,P0,筛选与统计
APP,班表,APP-CAL-02,周列表,P0,天气与班次
APP,排班,APP-SCH-01,今日班次,P0,详情与快捷操作
APP,排班,APP-SCH-02,临时改班,P0,提交变更
APP,消息,APP-MSG-01,消息中心,P0,分类与已读
APP,分享,APP-SHR-01,分享班表,P0,图片/链接/系统分享
APP,统计,APP-STAT-01,个人统计,P1,班次与时长
APP,我的,APP-ME-01,个人中心,P0,账户和设置
后台,认证,ADM-AUTH-01,管理员登录,P0,登录与二次验证
后台,仪表盘,ADM-DASH-01,运营仪表盘,P0,今日概览
后台,排班,ADM-SCH-01,排班日历,P0,新建与批量排班
后台,排班,ADM-SCH-02,员工排班表,P0,筛选编辑导出
后台,员工,ADM-EMP-01,员工管理,P0,邀请停用分组
后台,班次,ADM-SHIFT-01,班次模板,P0,创建编辑排序
后台,审批,ADM-APR-01,改班审批,P0,通过驳回
后台,天气,ADM-WEA-01,天气联动,P1,供应商与预警
后台,分享,ADM-SHR-01,分享模板,P1,品牌与隐私模板
后台,统计,ADM-STAT-01,统计分析,P0,趋势与导出
后台,权限,ADM-RBAC-01,角色权限,P0,角色与授权
后台,审计,ADM-AUD-01,审计日志,P0,查询与详情
后台,设置,ADM-SET-01,组织设置,P0,时区策略通知
